train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.941558361053467,2.1,2.9605062007904053,0.072,0.333
2.918903112411499,1.8,2.889251947402954,0.091,0.347
2.882793426513672,1.8,2.8662383556365967,0.112,0.381
2.853510856628418,2.0,2.8847274780273438,0.104,0.383
2.8572916984558105,1.9,2.844111919403076,0.122,0.401
2.8118510246276855,1.9,2.791106939315796,0.126,0.433
2.770639657974243,1.9,2.747544050216675,0.159,0.442
2.7568156719207764,1.9,2.766359806060791,0.151,0.444
2.7540993690490723,2.0,2.7804126739501953,0.12,0.434
2.7136363983154297,1.8,2.6777291297912598,0.169,0.497
2.7135260105133057,1.5,2.751742124557495,0.157,0.475
2.7108845710754395,1.8,2.7233710289001465,0.151,0.477
2.705507516860962,1.9,2.7465157508850098,0.144,0.466
2.6927270889282227,1.8,2.704956293106079,0.165,0.463
2.6897644996643066,1.6,2.7136142253875732,0.155,0.465
2.6942052841186523,1.7,2.6880862712860107,0.17,0.484
2.6656246185302734,2.0,2.684048891067505,0.174,0.491
2.6729650497436523,2.0,2.691226005554199,0.169,0.483
2.6487629413604736,1.6,2.705514430999756,0.156,0.481
2.706881284713745,1.5,2.73470401763916,0.143,0.453
