train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.734842538833618,2.2,2.603024959564209,0.201,0.547
2.5871968269348145,1.9,2.5668721199035645,0.22,0.569
2.5235466957092285,2.0,2.5143861770629883,0.238,0.586
2.469787836074829,3.5,2.4445552825927734,0.26,0.617
2.4186172485351562,3.1,2.4582231044769287,0.256,0.606
2.376544713973999,2.9,2.4055917263031006,0.268,0.644
2.3384125232696533,4.9,2.3577914237976074,0.276,0.659
2.3175108432769775,5.3,2.399989366531372,0.267,0.63
2.298469305038452,4.8,2.3830652236938477,0.258,0.632
2.2600882053375244,5.6,2.327854871749878,0.305,0.644
2.2347679138183594,5.8,2.3189914226531982,0.297,0.675
2.1989428997039795,5.5,2.3434548377990723,0.296,0.652
2.172973394393921,2.8,2.322328805923462,0.303,0.66
2.163041591644287,2.6,2.3058135509490967,0.302,0.665
2.1304898262023926,2.2,2.285186290740967,0.308,0.686
2.1061344146728516,2.4,2.299790859222412,0.288,0.674
2.1159918308258057,2.3,2.338071346282959,0.293,0.665
2.091158628463745,2.8,2.303265333175659,0.294,0.68
2.0332958698272705,3.0,2.3095929622650146,0.304,0.678
1.9996910095214844,2.5,2.3246779441833496,0.314,0.671
