train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.8555455207824707,1.8,2.758448600769043,0.155,0.464
2.7224605083465576,1.9,2.6998307704925537,0.183,0.49
2.6860525608062744,2.1,2.7062995433807373,0.182,0.524
2.659010887145996,3.2,2.6613609790802,0.193,0.517
2.629390239715576,2.4,2.692575693130493,0.178,0.508
2.623908042907715,1.8,2.62727689743042,0.205,0.534
2.5983710289001465,3.2,2.6045427322387695,0.189,0.552
2.582202196121216,2.7,2.6136929988861084,0.215,0.549
2.562943458557129,1.8,2.6039443016052246,0.203,0.558
2.553410053253174,1.7,2.5593931674957275,0.22,0.575
2.5534026622772217,2.2,2.60703444480896,0.19,0.523
2.5491943359375,2.5,2.5923290252685547,0.201,0.543
2.5276262760162354,1.9,2.552795886993408,0.216,0.55
2.5195987224578857,2.1,2.5479822158813477,0.234,0.567
2.5067481994628906,2.6,2.5504767894744873,0.225,0.564
2.490440845489502,2.6,2.5339930057525635,0.234,0.571
2.481595754623413,2.6,2.5546441078186035,0.221,0.567
2.4648799896240234,2.3,2.5011017322540283,0.231,0.59
2.4564664363861084,1.7,2.4851629734039307,0.239,0.597
2.4350533485412598,1.9,2.4579617977142334,0.252,0.615
