train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.712608814239502,1.9,2.6049156188964844,0.207,0.526
2.578000783920288,2.1,2.556837558746338,0.221,0.557
2.5115842819213867,2.2,2.496643543243408,0.253,0.587
2.469947338104248,2.8,2.5089972019195557,0.222,0.588
2.448345422744751,2.4,2.4841980934143066,0.244,0.601
2.4282736778259277,2.3,2.4630603790283203,0.261,0.602
2.411435842514038,2.5,2.450495481491089,0.244,0.609
2.3819580078125,2.4,2.421536922454834,0.263,0.604
2.358893632888794,2.5,2.408456325531006,0.276,0.613
2.336357831954956,2.6,2.445502758026123,0.255,0.617
2.313682794570923,2.2,2.4589593410491943,0.247,0.609
2.306500196456909,1.9,2.3612914085388184,0.272,0.642
2.2784643173217773,2.4,2.3828890323638916,0.267,0.634
2.2829675674438477,1.9,2.3460354804992676,0.29,0.648
2.2541911602020264,2.8,2.341972827911377,0.292,0.665
2.232419013977051,2.9,2.344266891479492,0.294,0.659
2.2028098106384277,2.0,2.3397746086120605,0.28,0.65
2.180980920791626,2.1,2.385486602783203,0.29,0.63
2.1688778400421143,3.2,2.3310132026672363,0.29,0.657
2.1615891456604004,3.9,2.3195691108703613,0.304,0.665
