train_loss,epoch_time,val_loss,acc_top1,acc_top5
2.683501958847046,3.6,2.5809168815612793,0.224,0.544
2.5266056060791016,4.1,2.470409393310547,0.254,0.61
2.4659667015075684,3.4,2.4165260791778564,0.266,0.622
2.4022037982940674,3.3,2.4053122997283936,0.266,0.623
2.3698432445526123,3.5,2.35471773147583,0.275,0.659
2.322543144226074,2.8,2.3527839183807373,0.28,0.635
2.291243076324463,3.0,2.3261020183563232,0.278,0.668
2.2717525959014893,3.7,2.3041348457336426,0.299,0.661
2.2363381385803223,3.2,2.2986724376678467,0.307,0.672
2.2051243782043457,2.8,2.2546753883361816,0.323,0.678
2.1832187175750732,2.4,2.2643368244171143,0.319,0.669
2.155184268951416,2.5,2.2735376358032227,0.316,0.671
2.1322402954101562,3.2,2.267465114593506,0.318,0.685
2.10593581199646,3.6,2.245910882949829,0.317,0.68
2.0694780349731445,3.6,2.266557455062866,0.317,0.68
2.0424721240997314,3.7,2.2557532787323,0.32,0.672
2.00654673576355,3.7,2.2484073638916016,0.326,0.662
1.9723904132843018,3.5,2.262075185775757,0.331,0.679
1.9489569664001465,3.6,2.2923967838287354,0.312,0.686
1.9080692529678345,3.2,2.285752534866333,0.32,0.684
